time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-02T20:19:18.090Z,32.8271675,-118.3041687,-0.12,3.49,ml,52,194,0.1777,0.31,ci,ci38216855,2019-02-02T22:18:47.353Z,"4km ENE of San Clemente Is. (SE tip), CA",earthquake,1.09,1.71,0.245,25,automatic,ci,ci
2019-02-02T16:00:16.630Z,40.2408,-124.803,10,3,ml,,246,0.55,1.13,us,us2000jcfa,2019-02-02T18:56:59.314Z,"59km SW of Ferndale, California",earthquake,3.6,2,0.064,32,reviewed,us,us
2019-02-02T11:18:26.460Z,40.3149986,-124.4383316,6.73,3.19,ml,11,272,0.1441,0.15,nc,nc73139116,2019-02-02T16:23:39.907Z,"13km W of Petrolia, CA",earthquake,2.6,1.02,0.235,8,automatic,nc,nc
2019-02-02T11:07:44.220Z,31.4153,-103.4757,2.01,2.6,ml,,57,0.319,0.7,us,us2000jccv,2019-02-02T11:45:40.432Z,"1km ESE of Pecos, Texas",earthquake,2.6,6.1,0.051,50,reviewed,us,us
2019-02-02T10:52:23.040Z,40.3204994,-124.4244995,7.27,4.31,mw,15,249,0.137,0.14,nc,nc73139111,2019-02-02T22:13:54.876Z,"12km W of Petrolia, CA",earthquake,1.23,0.61,,3,reviewed,nc,nc
2019-02-02T03:30:12.980Z,47.3686666666667,-121.796166666667,17.99,2.5,ml,23,65,,0.17,uw,uw61510536,2019-02-02T17:51:40.462Z,"11km SSW of Riverbend, Washington",earthquake,0.38,0.73,0.174007979993576,15,reviewed,uw,uw
2019-02-02T02:27:29.858Z,40.6105,-115.9894,1.3,3.3,ml,11,110.65,0.414,0.1855,nn,nn00676619,2019-02-02T04:36:19.815Z,"15km SE of Carlin, Nevada",earthquake,,7.4,0.26,10,reviewed,nn,nn
2019-02-02T00:30:37.170Z,40.3043327,-124.4988327,7.3,2.86,ml,9,262,0.1844,0.12,nc,nc73139041,2019-02-02T11:05:44.440Z,"18km W of Petrolia, CA",earthquake,3.32,1.89,0.251,6,automatic,nc,nc
2019-02-01T17:42:38.230Z,38.7504997,-122.7351685,1.18,2.51,md,27,75,0.007649,0.07,nc,nc73138936,2019-02-01T20:14:03.747Z,"4km SSE of The Geysers, CA",earthquake,0.21,0.38,0.3,13,automatic,nc,nc
2019-02-01T12:20:19.810Z,37.0869,-98.4043,5,2.5,ml,,126,0.373,0.22,us,us2000jbrz,2019-02-02T03:22:25.066Z,"10km NE of Kiowa, Kansas",earthquake,1.2,1.9,0.077,22,reviewed,us,us
2019-02-01T09:05:33.015Z,38.3593,-115.7904,6.6,2.6,ml,11,71.54,0.161,0.1822,nn,nn00676527,2019-02-02T20:59:20.203Z,"50km SSW of Currant, Nevada",earthquake,,1.8,0.33,4,reviewed,nn,nn
2019-02-01T08:58:32.740Z,39.5696,-107.3591,1.92,3.1,ml,,77,0.883,0.51,us,us2000jbqr,2019-02-02T06:57:32.933Z,"3km NW of Glenwood Springs, Colorado",earthquake,1.5,5.7,0.039,88,reviewed,us,us
2019-01-31T22:25:35.280Z,36.4762,-98.193,7.94,2.7,ml,,88,,0.42,us,us2000jbiq,2019-02-02T13:27:57.245Z,"10km SE of Helena, Oklahoma",earthquake,1.2,1.5,0.233,34,reviewed,ok,ok
2019-01-31T22:17:01.190Z,31.6249,-104.5501,5,2.6,mb_lg,,71,0.537,0.41,us,us2000jbl5,2019-02-01T00:49:04.040Z,"70km NNE of Van Horn, Texas",earthquake,1.1,1.9,0.109,31,reviewed,us,us
2019-01-31T03:13:36.090Z,35.365,-117.8708333,2.65,3.17,ml,51,41,0.09949,0.19,ci,ci38213159,2019-01-31T17:51:20.091Z,"21km W of Johannesburg, CA",earthquake,0.16,0.46,0.145,276,reviewed,ci,ci
